"Run","Sex","Rat","Condition","Extinction 1 (Active Lever Presses)","Footshock Reinstatement (Active Lever Presses)","Dry Ice BSLN","Dry Ice Exp","Von BSLN force in mN","Von Exp force in mN","Hargreaves BSLN","Hargreaves Exp","Baseline ACTH Diurnal PM","Baseline ACTH Diurnal AM = 0 min","Baseline ACTH 30 min","Baseline ACTH 60 min","Baseline ACTH 90 min","Baseline ACTH 150 min","Exp. ACTH Diurnal PM","Exp. ACTH Diurnal AM = 0 min","Exp. ACTH 30 min","Exp. ACTH 60 min","Exp. ACTH 90 min","Exp. ACTH 150 min","Baseline Cort Diurnal PM","Baseline Cort Diurnal AM = 0 min","Baseline Cort 30 min","Baseline Cort 60 min","Baseline Cort 90 min","Baseline Cort 150 min","Exp. Cort Diurnal PM","Exp. Cort Diurnal AM = 0 min","Exp. Cort 30 min","Exp. Cort 60 min","Exp. Cort 90 min","Exp. Cort 150 min","Baseline TL Distance (m) OF","Exp. TL Distance (m) OF","Baseline Time in outer squares (s)","Exp. Time in outer squares (s)","Baseline Cort AUC","Exp. Cort AUC","Baseline ACTH AUC","Exp. ACTH AUC"
"Op7","F",60,"AC",92,24,19.45375,18.1275,31.18899,18.92184,13.93,16.785,126.4,164.6,1219.8,440.4,259,113.2,131.8,191.8,332.6,101,105,88,258.15,371.7,1554,1261.05,351.45,107.55,426.9,775.2,1268.85,311.7,386.4,247.2,28.087,50.898,581.2,450.1,92936.25,46768.5,50346,10050
"Op7","F",61,"SR",236,20,15.6575,17.9825,25.30458,18.92184,18.26875,12.15625,154.8,272.6,510.8,168.2,210,242.4,179.6,237.4,431.8,235.6,141,142.6,267.6,584.4,1056.3,359.7,651.3,624.75,476.55,825.45,961.65,397.5,391.65,314.25,55.093,62.03,562.8,469.1,45342,33070.5,15951,13056
"Op8","F",64,"SR",395,72,16.0825,13.35625,18.92184,18.92184,13.2275,16.17375,82.4,137.8,352.4,128,110.4,115.2,225.6,142.8,295,94.6,94.4,96.4,438,919.2,1260.3,172.35,80.7,504.3,824.25,574.65,1203.9,552.15,207.3,244.35,45.955,50.77,541.8,455.9,63423,46865.25,8343,6810
"Op8","F",65,"SR",140,53,16.65375,15.19625,47.38937,38.69383,11.93875,11.78875,159,362.2,940.6,NA,119,108.2,418.8,259.2,694,208.6,91,84,1058.55,1254.15,1513.2,462.45,217.8,708.6,1300.5,564.75,1248.75,496.65,93.15,66.6,48.543,49.386,568.4,483,76470.75,57033,NA,24981
"Op9","F",66,"SR",171,16,17.8125,17.99,57.09333,18.92184,12.97375,11.92875,485,106.8,782.4,201.6,149.8,180,101.4,207.2,359.6,104.2,86,117.4,906.3,100.05,1150.5,238.95,73.05,107.1,261.9,916.5,1231.05,393.75,140.4,520.65,44.05,48.304,565.1,487.3,38727,63369,27243,11514
"Op9","F",67,"AC",178,24,17.2825,13.92125,25.30458,18.46222,9.4175,10.31375,230.2,166,803.2,161.8,113.2,122.6,117.6,378.2,571.8,294.8,163.2,109,738.75,546,1418.25,310.05,119.85,33.15,402.9,480.45,988.35,205.95,87.6,27.45,69.676,53.52,537.1,453.5,61454.25,43683.75,23232,25935
"Op9","F",68,"AC",104,33,18.0325,15.11125,31.64861,18.92184,11.02875,16.8525,231,115.2,614,127.2,96.6,83,174.6,259.8,167,113.2,99.6,113.6,1113.6,239.1,1250.4,324,73.95,21.45,457.35,546.9,251.25,98.1,82.95,230.4,48.429,47.453,549.5,504.9,51572.25,16886.25,18351,5253
"Op9","F",69,"AC",104,11,14.30625,13.295,71.14996,19.26631,8.8325,16.2025,452.2,265.8,337,122.2,122.6,113.4,281.2,183.8,146.2,140.2,112.2,100,484.65,713.4,700.5,161.55,162.6,335.7,577.05,483.45,478.8,186.75,166.05,117.45,64.104,49.813,537.2,479.7,29718,20596.5,9672,4398
"Op9","F",70,"SR",169,38,19.1075,12.90375,18.92184,18.92184,12.475,12.015,268,159.2,609,125.8,115.8,107.8,146.4,182.2,404.8,122.4,115.6,98.4,548.4,421.35,1184.4,254.85,210.45,288.45,384.15,463.05,811.65,111.6,203.7,327.45,56.097,48.047,561.8,480.3,36054,36893.25,16707,11943
"Op9","F",71,"SR",77,10,16.26625,14.97625,41.66372,27.78006,13.45125,13.12,323.6,130.2,510.6,109.8,118.8,95.6,234.6,242.6,147.6,175.4,128.2,126.8,688.05,267,1008.3,308.25,204.75,282.75,367.95,352.8,323.85,242.25,233.7,261.75,64.917,57.124,486.2,469.7,30485.25,5589,14439,3882
"Op9","F",72,"AC",94,29,17.77125,14.11375,34.60331,18.92184,10.23,15.06125,167.6,125,188,101.8,137.8,110,368.2,181.6,206,111.8,92,125.4,720.45,475.8,761.7,306.45,402.9,162.3,895.2,346.2,944.1,101.4,76.95,209.1,64.47,59.278,539.7,492.9,37836,34751.25,4800,6360
"Op9","F",73,"AC",86,16,18.05875,15.0975,25.30458,18.92184,13.45875,12.90375,177.4,125,182.6,126,117.6,NA,174.2,173.2,237.6,105.2,115.2,93.6,872.25,369.75,1143,79.35,68.7,80.4,738,381.3,1078.2,294.3,210,99.6,60.972,52.307,499.2,503.2,37415.25,44392.5,NA,6834
"Op9","F",74,"SR",90,8,17.01,15.86375,18.92184,18.92184,17.055,11.00875,197.4,179.5,1157,143,88.6,88.4,139,161.2,259.4,161.2,112.2,101.2,919.95,408.9,1202.4,280.35,37.5,407.7,294.75,481.2,842.25,219.15,232.65,153.45,55.035,47.291,523.3,445.4,58909.5,31115.25,35071.5,7941
